Record Date,Statement Fiscal Year,Restatement Flag,Agency Name,Gross Cost (in Billions),Earned Revenue (in Billions),Subtotal (in Billions),Change in Assumptions (in Billions),Net Cost (in Billions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-09-30,2023,N,Department of Health and Human Services,1875.6,161.2,1714.4,-0.3,1714.1,1,2023,4,2023,3,09,30
2023-09-30,2023,N,Department of Veterans Affairs,902.0,5.5,896.5,558.8,1455.3,2,2023,4,2023,3,09,30
2023-09-30,2023,N,Social Security Administration,1433.1,0.3,1432.8,0.0,1432.8,3,2023,4,2023,3,09,30
2023-09-30,2023,N,Department of Defense,969.0,55.0,914.0,89.3,1003.3,4,2023,4,2023,3,09,30
2023-09-30,2023,N,Interest on Treasury Securities held by the public,678.0,0.0,678.0,0.0,678.0,5,2023,4,2023,3,09,30
2023-09-30,2023,N,Department of the Treasury,357.4,53.7,303.7,0.0,303.7,6,2023,4,2023,3,09,30
2023-09-30,2023,N,Department of Agriculture,238.1,11.8,226.3,0.0,226.3,7,2023,4,2023,3,09,30
2023-09-30,2023,N,Office of Personnel Management,124.0,29.4,94.6,111.9,206.5,8,2023,4,2023,3,09,30
2023-09-30,2023,N,Department of Transportation,108.2,1.5,106.7,0.0,106.7,9,2023,4,2023,3,09,30
2023-09-30,2023,N,Security Assistance Accounts,109.3,6.1,103.2,0.0,103.2,10,2023,4,2023,3,09,30
2023-09-30,2023,N,Department of Homeland Security,111.2,15.6,95.6,1.0,96.6,11,2023,4,2023,3,09,30
2023-09-30,2023,N,Department of Energy,86.2,11.3,74.9,0.0,74.9,12,2023,4,2023,3,09,30
2023-09-30,2023,N,Department of Housing and Urban Development,71.4,4.1,67.3,0.0,67.3,13,2023,4,2023,3,09,30
2023-09-30,2023,N,Department of Justice,51.6,3.7,47.9,0.0,47.9,14,2023,4,2023,3,09,30
2023-09-30,2023,N,Department of Labor,45.3,0.0,45.3,0.0,45.3,15,2023,4,2023,3,09,30
2023-09-30,2023,N,Pension Benefit Guaranty Corporation,55.0,17.0,38.0,0.0,38.0,16,2023,4,2023,3,09,30
2023-09-30,2023,N,Agency for International Development,36.8,0.0,36.8,0.0,36.8,17,2023,4,2023,3,09,30
2023-09-30,2023,N,Department of State,41.6,6.0,35.6,-0.2,35.4,18,2023,4,2023,3,09,30
2023-09-30,2023,N,Small Business Administration,35.5,5.2,30.3,0.0,30.3,19,2023,4,2023,3,09,30
2023-09-30,2023,N,Department of the Interior,29.5,3.0,26.5,0.0,26.5,20,2023,4,2023,3,09,30
2023-09-30,2023,N,National Aeronautics and Space Administration,24.8,0.4,24.4,0.0,24.4,21,2023,4,2023,3,09,30
2023-09-30,2023,N,Department of Education,50.9,32.4,18.5,0.0,18.5,22,2023,4,2023,3,09,30
2023-09-30,2023,N,Federal Communications Commission,18.6,0.4,18.2,0.0,18.2,23,2023,4,2023,3,09,30
2023-09-30,2023,N,Railroad Retirement Board,15.6,0.0,15.6,0.0,15.6,24,2023,4,2023,3,09,30
2023-09-30,2023,N,Department of Commerce,17.3,4.3,13.0,0.0,13.0,25,2023,4,2023,3,09,30
2023-09-30,2023,N,Environmental Protection Agency,12.3,0.4,11.9,0.0,11.9,26,2023,4,2023,3,09,30
2023-09-30,2023,N,Federal Deposit Insurance Corporation,21.8,11.9,9.9,0.0,9.9,27,2023,4,2023,3,09,30
2023-09-30,2023,N,National Science Foundation,9.0,0.0,9.0,0.0,9.0,28,2023,4,2023,3,09,30
2023-09-30,2023,N,United States Postal Service,83.8,77.0,6.8,0.0,6.8,29,2023,4,2023,3,09,30
2023-09-30,2023,N,Smithsonian Institution,2.0,0.5,1.5,0.0,1.5,30,2023,4,2023,3,09,30
2023-09-30,2023,N,Millennium Challenge Corporation,0.7,0.0,0.7,0.0,0.7,31,2023,4,2023,3,09,30
2023-09-30,2023,N,National Credit Union Administration,0.4,0.1,0.3,0.0,0.3,32,2023,4,2023,3,09,30
2023-09-30,2023,N,U.S. Nuclear Regulatory Commission,0.8,0.7,0.1,0.0,0.1,33,2023,4,2023,3,09,30
2023-09-30,2023,N,General Services Administration,0.899999999999997,1.1,-0.199999999999997,0.0,-0.199999999999997,34,2023,4,2023,3,09,30
2023-09-30,2023,N,Securities and Exchange Commission,2.4,2.6,-0.2,0.0,-0.2,35,2023,4,2023,3,09,30
2023-09-30,2023,N,United States International Development Finance Corporation,0.0,0.3,-0.3,0.0,-0.3,36,2023,4,2023,3,09,30
2023-09-30,2023,N,Farm Credit System Insurance Corporation,0.0,0.6,-0.6,0.0,-0.6,37,2023,4,2023,3,09,30
2023-09-30,2023,N,Tennessee Valley Authority,11.4,12.0,-0.600000000000001,0.0,-0.600000000000001,38,2023,4,2023,3,09,30
2023-09-30,2023,N,Export-Import Bank of the United States,-0.9,-0.2,-0.7,0.0,-0.7,39,2023,4,2023,3,09,30
2023-09-30,2023,N,National Railroad Retirement Investment Trust,0.1,2.8,-2.7,0.0,-2.7,40,2023,4,2023,3,09,30
2023-09-30,2023,N,All other entities,31.0,1.8,29.2,0.1,29.3,41,2023,4,2023,3,09,30
2023-09-30,2023,N,Total,7661.70000000001,539.5,7122.20000000001,760.6,7882.80000000001,42,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of Health and Human Services,1812.7,154.1,1658.6,1.4,1660.0,1,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of Veterans Affairs,413.8,5.4,408.4,1526.5,1934.9,2,2023,4,2023,3,09,30
2023-09-30,2022,Y,Social Security Administration,1294.3,0.3,1294.0,0.0,1294.0,3,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of Defense,979.7,47.8,931.9,527.0,1458.9,4,2023,4,2023,3,09,30
2023-09-30,2022,Y,Interest on Treasury Securities held by the public,496.5,0.0,496.5,0.0,496.5,5,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of the Treasury,557.7,31.3,526.4,0.0,526.4,6,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of Agriculture,250.4,9.7,240.7,0.0,240.7,7,2023,4,2023,3,09,30
2023-09-30,2022,Y,Office of Personnel Management,174.1,27.3,146.8,148.2,295.0,8,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of Transportation,116.3,1.0,115.3,0.0,115.3,9,2023,4,2023,3,09,30
2023-09-30,2022,Y,Security Assistance Accounts,102.1,19.3,82.8,0.0,82.8,10,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of Homeland Security,102.3,14.7,87.6,1.2,88.8,11,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of Energy,50.3,22.1,28.2,0.0,28.2,12,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of Housing and Urban Development,28.2,1.9,26.3,0.0,26.3,13,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of Justice,42.4,1.2,41.2,0.0,41.2,14,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of Labor,42.3,0.0,42.3,0.0,42.3,15,2023,4,2023,3,09,30
2023-09-30,2022,Y,Pension Benefit Guaranty Corporation,9.9,16.9,-7.0,0.0,-7.0,16,2023,4,2023,3,09,30
2023-09-30,2022,Y,Agency for International Development,29.5,0.1,29.4,0.0,29.4,17,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of State,40.0,4.8,35.2,3.4,38.6,18,2023,4,2023,3,09,30
2023-09-30,2022,Y,Small Business Administration,47.8,4.3,43.5,0.0,43.5,19,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of the Interior,28.2,2.7,25.5,0.0,25.5,20,2023,4,2023,3,09,30
2023-09-30,2022,Y,National Aeronautics and Space Administration,22.3,0.3,22.0,0.0,22.0,21,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of Education,595.1,55.6,539.5,0.0,539.5,22,2023,4,2023,3,09,30
2023-09-30,2022,Y,Federal Communications Commission,16.0,0.4,15.6,0.0,15.6,23,2023,4,2023,3,09,30
2023-09-30,2022,Y,Railroad Retirement Board,8.2,0.0,8.2,0.0,8.2,24,2023,4,2023,3,09,30
2023-09-30,2022,Y,Department of Commerce,15.8,4.2,11.6,0.1,11.7,25,2023,4,2023,3,09,30
2023-09-30,2022,Y,Environmental Protection Agency,9.9,0.3,9.6,0.0,9.6,26,2023,4,2023,3,09,30
2023-09-30,2022,Y,Federal Deposit Insurance Corporation,1.9,8.2,-6.3,0.0,-6.3,27,2023,4,2023,3,09,30
2023-09-30,2022,Y,National Science Foundation,8.2,0.0,8.2,0.0,8.2,28,2023,4,2023,3,09,30
2023-09-30,2022,Y,United States Postal Service,78.7,76.2,2.49999999999999,0.0,2.49999999999999,29,2023,4,2023,3,09,30
2023-09-30,2022,Y,Smithsonian Institution,1.7,0.1,1.6,0.0,1.6,30,2023,4,2023,3,09,30
2023-09-30,2022,Y,Millennium Challenge Corporation,0.7,0.0,0.7,0.0,0.7,31,2023,4,2023,3,09,30
2023-09-30,2022,Y,National Credit Union Administration,0.3,0.1,0.2,0.0,0.2,32,2023,4,2023,3,09,30
2023-09-30,2022,Y,U.S. Nuclear Regulatory Commission,0.8,0.7,0.1,0.0,0.1,33,2023,4,2023,3,09,30
2023-09-30,2022,Y,General Services Administration,0.300000000000001,0.9,-0.600000000000001,0.0,-0.600000000000001,34,2023,4,2023,3,09,30
2023-09-30,2022,Y,Securities and Exchange Commission,2.6,2.4,0.2,0.0,0.2,35,2023,4,2023,3,09,30
2023-09-30,2022,Y,United States International Development Finance Corporation,0.3,0.2,0.1,0.0,0.1,36,2023,4,2023,3,09,30
2023-09-30,2022,Y,Farm Credit System Insurance Corporation,0.0,0.6,-0.6,0.0,-0.6,37,2023,4,2023,3,09,30
2023-09-30,2022,Y,Tennessee Valley Authority,11.3,12.4,-1.1,0.0,-1.1,38,2023,4,2023,3,09,30
2023-09-30,2022,Y,Export-Import Bank of the United States,0.0,0.5,-0.5,0.0,-0.5,39,2023,4,2023,3,09,30
2023-09-30,2022,Y,National Railroad Retirement Investment Trust,4.7,1.1,3.6,0.0,3.6,40,2023,4,2023,3,09,30
2023-09-30,2022,Y,All other entities,23.4,2.0,21.4,0.1,21.5,41,2023,4,2023,3,09,30
2023-09-30,2022,Y,Subtotal,7420.70000000001,531.1,6889.60000000001,2207.9,9097.50000000001,42,2023,4,2023,3,09,30
2023-09-30,2022,Y,Unmatched transactions and balances (Note 1.T),-0.6,0.0,-0.6,0.0,-0.6,43,2023,4,2023,3,09,30
2023-09-30,2022,Y,Total,7420.10000000001,531.1,6889.00000000001,2207.9,9096.90000000001,44,2023,4,2023,3,09,30
